region_name,sport_name,games_year,season,total_medals
Azerbaijan,Canoeing,2008,Summer,1
Azerbaijan,Weightlifting,2012,Summer,1
Bahamas,Athletics,2000,Summer,11
Bahamas,Athletics,2008,Summer,7
Bahamas,Athletics,2016,Summer,6
Bahamas,Athletics,1996,Summer,5
Bahamas,Athletics,2012,Summer,4
Bahamas,Sailing,1964,Summer,2
Bahamas,Sailing,1956,Summer,2
Bahamas,Athletics,2004,Summer,2
Bahamas,Athletics,1992,Summer,1
Bahrain,Athletics,2016,Summer,2
Bahrain,Athletics,2012,Summer,1
Barbados,Athletics,2000,Summer,1
Belarus,Rowing,1996,Summer,10
Belarus,Canoeing,2012,Summer,8
Belarus,Canoeing,2008,Summer,8
Belarus,Gymnastics,1992,Summer,7
Belarus,"Rhythmic Gymnastics",2012,Summer,7
Belarus,"Rhythmic Gymnastics",2008,Summer,7
Belarus,"Rhythmic Gymnastics",2000,Summer,7
Belarus,Athletics,2008,Summer,6
Belarus,Athletics,2000,Summer,5
Belarus,Shooting,2000,Summer,4
Belarus,Gymnastics,1988,Summer,4
Belarus,Gymnastics,1996,Summer,4
Belarus,Wrestling,1996,Summer,4
Belarus,Biathlon,2014,Winter,4
Belarus,Athletics,1996,Summer,4
Belarus,Canoeing,2016,Summer,4
Belarus,Biathlon,2010,Winter,3
Belarus,Wrestling,2016,Summer,3
Belarus,Weightlifting,2004,Summer,3
Belarus,Biathlon,1998,Winter,3
Belarus,Rowing,2008,Summer,3
Belarus,Tennis,2012,Summer,3
Belarus,Rowing,2004,Summer,3
Belarus,Weightlifting,2008,Summer,3
Belarus,Shooting,1988,Summer,2
Belarus,Athletics,1992,Summer,2
Belarus,Boxing,2004,Summer,2
Belarus,Wrestling,2008,Summer,2
Belarus,Canoeing,2004,Summer,2
Belarus,Weightlifting,2012,Summer,2
Belarus,"Freestyle Skiing",2014,Winter,2
Belarus,Canoeing,1992,Summer,2
Belarus,Weightlifting,2000,Summer,2
Belarus,Swimming,2012,Summer,2
Belarus,Biathlon,1994,Winter,2
Belarus,Athletics,1988,Summer,2
Belarus,Biathlon,1992,Winter,2
Belarus,Swimming,1992,Summer,2
Belarus,Weightlifting,2016,Summer,2
